person,n_evidence,books,sample1,sample2,decision,merge_into,note
祭酒乐,1,後漢書,侍中祭酒乐松、贾护，多引无行趣势之徒，并待制鸿都门下，熹陈方俗闾里小事，帝甚悦之，待以不次之位。,,改 乐松、贾护,侍中祭酒为官职名，是东汉以来侍中人数越来越多时，定下的侍中之长,
祭酒樂,1,後漢書,」侍中祭酒樂松、賈護，多引無行趣埶之徒，並待制鴻都門下，憙陳方俗閭里小事，帝甚悅之，待以不次之位。,,改 乐松、贾护,侍中祭酒为官职名，是东汉以来侍中人数越来越多时，定下的侍中之长,
窦宪管,1,後漢紀,侯録尚書事百官揔已以聽於是侍中竇憲管掌機?,,改 窦宪,断句有误,
耿纪,1,三國志,荀彧进之太祖，（注：《傅子》曰：畿自荆州还，后至许，见侍中耿纪，语终夜。,,留,,
荀勖,1,三國志,」旣至，車騎將軍賈充、尚書令裴秀、侍中荀勗等欲傲以所不知而不能屈。,,留,,
荀悅撰,1,後漢紀,封操萬三千戶平幽兾之功也八月侍中荀悅撰政?,,改 荀悦,断句有误,
荀顗亡,1,三國志,臣-{松}-之案和嶠爲侍中，荀顗亡沒久矣。,,改 和峤,理解有误,
董賢方,1,漢書,時侍中董賢方貴，上使中黃門發武庫兵，前後十輩，送董賢及上乳母王阿舍。,,改 董贤,断句有误,
董賢貴,1,前漢紀,臣所制上乃下詔封商崇以爲侍中董賢貴寵過度?,,改 董贤,断句有误,
董贤年,1,漢書,后侍中董贤年二十二为大司马，居上公之位，天下不宗。,,改 董贤,断句有误,
董贤方,1,漢書,时，侍中董贤方贵，上使中黄门发武库兵，前后十辈，送董贤及上乳母王阿舍。,,改 董贤,断句有误,
蔡邕勸,1,三國志,」卓怒，罷坐，欲誅植，侍中蔡邕勸之，得免。,,改 蔡邕,断句有误,
许延壽,1,前漢紀,亦未可圖也上乃拜侍中許延壽爲強弩將軍即拜?,,改 许延寿,,
许章不,1,前漢紀,間何闊逢諸葛上嘉之加豐光禄大夫侍中許章不?,,改 许章,断句有误,
贾逵尚,1,東觀漢記,十一年帝召諸儒魯丕與侍中賈逵尚書令黄香等相?,,改 贾逵,断句有误,
贾逵擿,1,全後漢文,往者侍中賈逵擿讖互異三十餘事，諸言讖者皆不能說。,,改 贾逵,断句有误,
贾逵質,1,後漢書,年十八，至京師，從侍中賈逵質正大義，逵善待之，瑗因留遊學，遂明天官、歷數、京房易傳、六日七分。,,改 贾逵,断句有误,
贾逵质,1,後漢書,年十八，至京师，从侍中贾逵质正大义，逵善待之，瑗因留游学，遂明天官、历数、《京房易传》、六日七分。,,改 贾逵,断句有误,
邓叠行,1,後漢書,"""宪独不受封，遂将兵出镇凉州，以侍中邓叠行征西将军事为副。",,改 邓叠,断句有误,
邓疊行,1,後漢書,』憲獨不受封，遂將兵出鎮涼州，以侍中鄧疊行征西將軍事為副。,,改 邓叠,断句有误,
邓義,1,全後漢文,侍中鄧義?爲不然而難之，彧令統荅焉。,,留 邓义,,
郑业,1,漢書,二月，封帝太太后从弟侍中傅商为汝昌侯，太后同母弟子侍中郑业为阳信侯。,,改 傅商、郑业,该句中两人都是侍中,
郑文信,1,三國志,馮翊甲族桓、田、吉、郭及故侍中鄭文信等，頗以其各有器實，共紀識之。,,留,,
郑業,1,漢書,二月，封帝太太后從弟侍中傅商為汝昌侯，太后同母弟子侍中鄭業為陽信侯。,,留,,
郑稱爲,1,三國志,（注：《魏略》曰：以侍中鄭稱爲武德侯傅，令曰：「龍淵、太阿出昆吾之金，和氏之璧由井里之田；,,改 郑称,断句有误,
郗慮尚,1,後漢紀,將兵於河上八月辛卯侍中郗慮尚書令荀彧司隷?,,改 郗虑,断句有误,
金蟬左,1,全後漢文,侍中金蟬左貂。,,删,这里是说明侍中的官服形制，没有具体的人,
陈羣,1,三國志,」侍中陳羣、尚書桓階奏曰：「漢自安帝已來，政去公室，國統數絕，至於今者，唯有名號，尺土一民，皆非漢有，期運久已盡，歷數久已終，非適今日也。,,留 陈群,,
霍光,1,全漢文,?一通賜所幸侍中霍光，光甚好之，言爲口實。,,留,,
顾當,1,三國志,允前爲侍中，顧當與帝別，涕泣歔欷。,,改 王允,理解有误,
马何罗,1,前漢紀,殺侍中僕射馬何羅與弟重合侯通謀反侍中駙馬?,,留,,
马先生,1,三國志,平子雖為侍中，馬先生雖給事省中，俱不典工官，巧無益於世。,,改,此处的侍中是“平子”，即张衡,
黄初中,1,三國志,伯父巽，黄初中为侍中尚书。,,并 傅巽,黄初为年号,
黄門不,1,後漢書,獻帝起居注曰：「自誅黃門後，侍中、侍郎出入禁中，機事頗露，由是王允乃奏侍中、黃門不得出入。,,删,,
黄門侍,1,後漢書,舊侍中、黃門侍郎以在中宮者，不與近密交政。,,删,,
黄門郎,1,漢書,莽就車，之漸臺，欲阻池水，猶抱持符命、威斗，公卿大夫、侍中、黃門郎從官尚千餘人隨之。,,删,,
黄门郎,1,漢書,三日庚戌，晨旦明，群臣扶掖莽，自前殿南下椒除，西出白虎门，和新公王揖奉车待门外，莽就车，之渐台，欲阻池水，犹抱持符命、威斗，公、卿、大夫、侍中、黄门郎从官尚千余人随之。,,删,,
